disasterNumber,zip_counts,totalDamage,validRegistrations,totalInspected,approvedForFemaAssistance,disasterLength
4828,904,805543611.86,317869,120081,159990,14 days
4829,782,88743844.54,438123,67429,228986,12 days
4830,702,149727049.08,388085,86727,196462,36 days
4831,478,15495533.549999999,10266,2934,4200,8 days
4832,98,42919688.19,14365,4711,6667,4 days
4833,4,3131529.39,30,29,26,7 days
4834,2078,442080647.88,1047842,178632,252884,28 days
4836,2,2638441.46,279,251,213,1 days
4840,2,137468.06,26,25,24,1 days
4842,12,96449.36,87,71,13,1 days
4843,11,14209060.98,3053,2575,1925,1 days
4844,18,0.0,21,0,0,28 days
4847,17,764429.49,209,119,9,0 days
4851,22,1298408.45,639,356,243,3 days
